Stock Balance ,KABAC CABLE ACCESSORIES (M) SDN BHD (729374-H),,,,,
,,,,,,
,,,,,,
,,,,,,
Item Code,Item Description,Location,UOM,Bal. Qty,Avg. Cost,Total Cost
,,,,,,
,,,,,,
,,,,,,
CLG6-M6,6.0mm - M6 COPPER CABLE LUG (100pcs / pack),HQ,PACK,131.00,13.50,"1,768.50"
CLG70-M12,70mm - M12 COPPER CABLE LUG,HQ,PCS,"1,200.00",1.05,"1,260.00"
CLG70-M16,70mm - M16 COPPER CABLE LUG,HQ,PCS,700.00,1.19,833.00
CLG95-M12,95mm - M12 COPPER CABLE LUG,HQ,PCS,"2,400.00",1.70,"4,080.00"
CLG95-M8,95mm - M8 COPPER CABLE LUG,HQ,PCS,650.00,1.15,747.50
CLI1.5,1.5mm CABLE LINKS (100pcs / pack),HQ,PACK,120.00,6.40,768.00
CLI10,10mm CABLE LINKS (100pcs / pack),HQ,PACK,22.00,24.00,528.00
CLI120,120mm CABLE LINKS,HQ,PCS,210.00,2.55,535.50
CLI150,150mm CABLE LINKS,HQ,PCS,400.00,3.35,"1,340.00"
CLI16,16mm CABLE LINKS (100pcs / pack),HQ,PACK,60.80,30.01,"1,824.80"
CLI185,185mm CABLE LINKS,HQ,PCS,245.00,4.45,"1,090.50"
CLI2.5,2.5mm CABLE LINKS (100pcs / pack),HQ,PACK,110.00,6.50,715.00
CLI240,240mm CABLE LINKS,HQ,PCS,186.00,5.77,"1,073.64"
CLI25,25mm CABLE LINKS (100pcs / pack),HQ,PACK,11.90,45.00,535.50
CLI300,300mm CABLE LINKS,HQ,PCS,22.00,9.00,198.00
CLI35,35mm CABLE LINKS (100pcs / pack),HQ,PACK,28.00,60.00,"1,680.00"
CLI4.0,4.0mm CABLE LINKS (100pcs / pack),HQ,PACK,69.98,7.10,496.86
CLI400,400mm CABLE LINKS,HQ,PCS,48.00,14.68,704.64
CLI50,50mm CABLE LINKS (100pcs / pack),HQ,PACK,19.20,90.00,"1,728.00"
CLI6.0,6.0mm CABLE LINKS (100pcs / pack),HQ,PACK,8.92,15.80,140.94
CLI630,630mm CABLE LINKS,HQ,PCS,16.00,27.11,433.76
CLI70,70mm CABLE LINKS,HQ,PCS,"1,200.00",1.40,"1,680.00"
CLI95,95mm CABLE LINKS,HQ,PCS,124.00,1.90,235.60
CM-EC-0-W ( - ),0.75-3.2mm CABLE MARKER ( - )(WHITE),HQ,ROLL,46.00,1.23,56.58
CM-EC-0-W ( . ),0.75-3.2mm CABLE MARKER ( . )(WHITE),HQ,ROLL,20.00,1.23,24.60
CM-EC-0-W ( / ),0.75-3.2mm CABLE MARKER ( / )(WHITE),HQ,ROLL,49.00,1.23,60.27
CM-EC-0-W ( + ),0.75-3.2mm CABLE MARKER ( + )(WHITE),HQ,ROLL,47.00,1.23,57.81
CM-EC-0-W ( 0 ),0.75-3.2mm CABLE MARKER ( 0 )(WHITE),HQ,ROLL,41.00,1.23,50.43
CM-EC-0-W ( 1 ),0.75-3.2mm CABLE MARKER ( 1 )(WHITE),HQ,ROLL,36.00,1.23,44.28
CM-EC-0-W ( 2 ),0.75-3.2mm CABLE MARKER ( 2 )(WHITE),HQ,ROLL,38.00,1.23,46.74
CM-EC-0-W ( 3 ),0.75-3.2mm CABLE MARKER ( 3 )(WHITE),HQ,ROLL,42.00,1.23,51.66
CM-EC-0-W ( 4 ),0.75-3.2mm CABLE MARKER ( 4 )(WHITE),HQ,ROLL,39.00,1.23,47.97
CM-EC-0-W ( 5 ),0.75-3.2mm CABLE MARKER ( 5 )(WHITE),HQ,ROLL,40.00,1.23,49.20
CM-EC-0-W ( 6 ),0.75-3.2mm CABLE MARKER ( 6 )(WHITE),HQ,ROLL,42.00,1.23,51.66
CM-EC-0-W ( 7 ),0.75-3.2mm CABLE MARKER ( 7 )(WHITE),HQ,ROLL,42.00,1.23,51.66
CM-EC-0-W ( 8 ),0.75-3.2mm CABLE MARKER ( 8 )(WHITE),HQ,ROLL,43.00,1.23,52.89
CM-EC-0-W ( 9 ),0.75-3.2mm CABLE MARKER ( 9 )(WHITE),HQ,ROLL,42.00,1.23,51.66
CM-EC-0-W ( A ),0.75-3.2mm CABLE MARKER ( A )(WHITE),HQ,ROLL,48.00,1.23,59.04
CM-EC-0-W ( B ),0.75-3.2mm CABLE MARKER ( B )(WHITE),HQ,ROLL,47.00,1.23,57.81
CM-EC-0-W ( BLANK ),0.75-3.2mm CABLE MARKER ( BLANK )(WHITE),HQ,ROLL,20.00,1.23,24.60
CM-EC-0-W ( C ),0.75-3.2mm CABLE MARKER ( C )(WHITE),HQ,ROLL,51.00,1.23,62.73
CM-EC-0-W ( D ),0.75-3.2mm CABLE MARKER ( D )(WHITE),HQ,ROLL,49.00,1.23,60.27
CM-EC-0-W ( E ),0.75-3.2mm CABLE MARKER ( E )(WHITE),HQ,ROLL,49.00,1.23,60.27
CM-EC-0-W ( F ),0.75-3.2mm CABLE MARKER ( F )(WHITE),HQ,ROLL,49.00,1.23,60.27
CM-EC-0-W ( G ),0.75-3.2mm CABLE MARKER ( G )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-0-W ( H ),0.75-3.2mm CABLE MARKER ( H )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-0-W ( I ),0.75-3.2mm CABLE MARKER ( I )(WHITE),HQ,ROLL,50.00,1.23,61.50
